date,bit_retrf,us_mktrf,us_smb,us_hml,us_rf,intl_mktrf,intl_smb,intl_hml,intl_rf
20140102,0.04017371,-0.0088,-0.0027,0.0011,0,-0.069,0.086,-0.008,0
20140103,0.020351699,0.0003,0.0036,0.0004,0,-0.005,0.023,-0.013,0
20140106,0.164366328,-0.0034,-0.0057,0.0026,0,0,0.059,0.035,0
20140107,-0.158703018,0.0068,0.004,-0.0041,0,0.011,-0.037,0.067,0
20140108,0.050773067,0.0004,0.0001,-0.0012,0,0.026,0.004,0.042,0
20140109,0.004912664,0.0002,0.0017,-0.0038,0,-0.017,0.025,0.015,0
20140110,0.025529603,0.0027,0.0052,-0.0077,0,0.081,0.03,-0.009,0
20140113,-0.031411201,-0.0132,-0.0007,0.001,0,0.034,0.033,0.019,0
20140114,-0.009427009,0.0115,0.0019,-0.0038,0,-0.07,-0.016,-0.007,0
20140115,0.03315852,0.0053,0.0021,0.002,0,0.067,-0.014,0.066,0
20140116,-0.029353003,-0.0007,0.0029,-0.0068,0,0.006,0.012,-0.013,0
20140117,-0.025118773,-0.0039,0.0003,0.0004,0,0,0.037,0.01,0
20140121,0.060480703,0.003,0.0046,-0.0001,0,0.009,0.024,-0.031,0
20140122,-0.021205913,0.0015,0.0027,0.0021,0,-0.015,-0.024,-0.021,0
20140123,-0.027850377,-0.0086,0.0015,-0.005,0,-0.006,0.005,0.023,0
20140124,-0.030375651,-0.0219,-0.0039,0.0022,0,-0.185,0.069,-0.011,0
20140127,-0.032217998,-0.0065,-0.0086,0.0046,0,-0.135,-0.036,-0.036,0
20140128,0.053306369,0.0073,0.0019,-0.0002,0,0.034,0.004,0.039,0
20140129,0.016602873,-0.0107,-0.0041,0.0025,0,0.025,0.087,0.008,0
20140130,-0.008438257,0.0122,0.0031,-0.0042,0,-0.082,-0.03,0.007,0
20140131,0.013296216,-0.0066,-0.0006,-0.0039,0,-0.04,0.04,-0.019,0
20140203,-0.007338057,-0.0248,-0.0089,0.0032,0,-0.098,0.008,-0.021,0
20140204,0.00501317,0.0077,-0.0004,-0.001,0,-0.115,-0.082,0,0
20140205,-0.019384994,-0.0023,-0.006,0.002,0,0.051,0.004,0.038,0
20140206,-0.037393307,0.0121,-0.0048,0.0023,0,0.129,-0.039,0.006,0
20140207,-0.088478024,0.0133,-0.0016,-0.0067,0,0.117,-0.008,0.031,0
20140210,-0.04403425,0.0016,0.0012,-0.0044,0,0.043,0.025,-0.043,0
20140211,-0.013009706,0.0109,-0.0019,0.0024,0,0.085,-0.04,-0.004,0
20140212,-0.030423851,0.0011,0.0025,-0.0008,0,0.063,-0.001,0.022,0
20140213,-0.071318971,0.0072,0.0073,-0.0009,0,0.009,-0.007,0.01,0
20140214,0.093764457,0.0042,-0.0037,0.0038,0,0.04,-0.008,-0.013,0
20140218,-0.053460022,0.0027,0.0098,-0.0024,0,0.063,-0.011,0.007,0
