date,open,close,volume,name,ticker,id,marketcap
20140101,754.97,771.4,22489400,Bitcoin,BTC,bitcoin,9200000000
20140102,773.44,802.39,38489500,Bitcoin,BTC,bitcoin,9430000000
20140103,802.85,818.72,37810100,Bitcoin,BTC,bitcoin,9790000000
20140104,823.27,859.51,38005000,Bitcoin,BTC,bitcoin,10000000000
20140105,858.55,933.53,72898496,Bitcoin,BTC,bitcoin,10500000000
20140106,936.05,953.29,85565696,Bitcoin,BTC,bitcoin,11400000000
20140107,946.49,802,81311696,Bitcoin,BTC,bitcoin,11600000000
20140108,795.99,842.72,74175600,Bitcoin,BTC,bitcoin,9730000000
20140109,841.47,846.86,59998600,Bitcoin,BTC,bitcoin,10300000000
20140110,846.69,868.48,31876800,Bitcoin,BTC,bitcoin,10400000000
20140111,867.32,913.95,44754200,Bitcoin,BTC,bitcoin,10600000000
20140112,919.6,863.22,39623500,Bitcoin,BTC,bitcoin,11300000000
20140113,860.19,841.2,45580900,Bitcoin,BTC,bitcoin,10500000000
20140114,843.17,833.27,20829800,Bitcoin,BTC,bitcoin,10300000000
20140115,833.12,860.9,28107200,Bitcoin,BTC,bitcoin,10200000000
20140116,860.29,835.63,19149300,Bitcoin,BTC,bitcoin,10600000000
20140117,834.49,814.64,39031700,Bitcoin,BTC,bitcoin,10200000000
20140118,816.07,840,18052700,Bitcoin,BTC,bitcoin,10000000000
20140119,839.66,870.96,24365700,Bitcoin,BTC,bitcoin,10300000000
20140120,871.39,870.2,27652700,Bitcoin,BTC,bitcoin,10700000000
20140121,869.65,863.91,18997300,Bitcoin,BTC,bitcoin,10700000000
20140122,867.21,845.59,18453700,Bitcoin,BTC,bitcoin,10700000000
20140123,845.46,822.04,15607100,Bitcoin,BTC,bitcoin,10400000000
20140124,822.43,797.07,34912000,Bitcoin,BTC,bitcoin,10100000000
20140125,796.24,853.61,24303900,Bitcoin,BTC,bitcoin,9800000000
20140126,853.68,885.28,32224300,Bitcoin,BTC,bitcoin,10500000000
20140127,884.6,771.39,49233600,Bitcoin,BTC,bitcoin,10900000000
20140128,774.02,812.51,44875500,Bitcoin,BTC,bitcoin,9540000000
20140129,809.96,826,17984400,Bitcoin,BTC,bitcoin,9980000000
20140130,826.02,819.03,29918200,Bitcoin,BTC,bitcoin,10200000000
20140131,818.43,829.92,17107900,Bitcoin,BTC,bitcoin,10100000000
20140201,828.61,832.58,19668700,Bitcoin,BTC,bitcoin,10200000000
20140202,832.9,825.37,11300900,Bitcoin,BTC,bitcoin,10300000000
20140203,824.08,823.83,13940100,Bitcoin,BTC,bitcoin,10200000000
20140204,823.77,827.96,16609700,Bitcoin,BTC,bitcoin,10200000000
20140205,829.96,811.91,22395100,Bitcoin,BTC,bitcoin,10300000000
20140206,815.59,781.55,50108700,Bitcoin,BTC,bitcoin,10100000000
20140207,783.2,712.4,113643000,Bitcoin,BTC,bitcoin,9680000000
20140208,699.57,673.92,38742600,Bitcoin,BTC,bitcoin,8650000000
20140209,671.46,682.9,39311400,Bitcoin,BTC,bitcoin,8310000000
20140210,681.32,681.03,112758000,Bitcoin,BTC,bitcoin,8430000000
20140211,683.5,672.17,72745200,Bitcoin,BTC,bitcoin,8460000000
20140212,672.38,651.72,25367600,Bitcoin,BTC,bitcoin,8330000000
20140213,651.08,605.24,38588100,Bitcoin,BTC,bitcoin,8070000000
20140214,601.17,661.99,102506000,Bitcoin,BTC,bitcoin,7450000000
